日期,汇买价(元),钞买价(元),汇卖价(元),钞卖价(元),中间价
2011-03-27,653.53,648.29,657.47,,655.50
2011-03-25,653.53,648.29,657.47,,655.50
2011-03-24,654.69,649.44,657.31,,656.00
2011-03-23,654.49,649.24,657.11,,655.80
2011-03-22,654.21,648.96,656.83,,655.52
2011-03-21,654.79,649.54,657.41,,656.10
2011-03-20,654.71,649.46,658.65,,656.68
2011-03-20,654.71,649.46,658.65,,656.68
2011-03-18,654.71,649.46,658.65,,656.68
2011-03-17,655.29,650.03,657.91,,656.60
2011-03-16,655.69,650.43,658.31,,657.00
2011-03-15,655.48,650.22,658.10,,656.79
2011-03-14,655.64,650.38,658.26,,656.95
2011-03-13,655.33,650.07,659.27,,657.30
2011-03-13,655.33,650.07,659.27,,657.30
2011-03-11,655.33,650.07,659.27,,657.30
2011-03-10,655.82,650.56,658.44,,657.13
2011-03-09,655.85,650.59,658.47,,657.16
2011-03-08,655.39,650.13,658.01,,656.70
2011-03-07,654.99,649.74,657.61,,656.30
2011-03-06,654.83,649.58,658.77,,656.80
2011-03-06,654.83,649.58,658.77,,656.80
2011-03-04,654.74,649.49,658.68,,656.71
2011-03-03,655.49,650.23,658.11,,656.80
2011-03-02,655.91,650.65,658.53,,657.22
2011-03-01,655.69,650.43,658.31,,657.00
2011-02-28,655.82,650.56,658.44,,657.13
2011-02-27,655.43,650.17,659.37,,657.40
2011-02-27,655.43,650.17,659.37,,657.40
2011-02-25,655.23,649.97,659.17,,657.20
2011-02-24,656.48,651.22,659.12,,657.80
2011-02-23,656.06,650.80,658.68,,657.37
2011-02-22,656.40,651.14,659.04,,657.72
2011-02-21,655.37,650.11,657.99,,656.68
2011-02-20,655.39,650.13,659.33,,657.36
2011-02-20,655.39,650.13,659.33,,657.36
2011-02-18,655.39,650.13,659.33,,657.36
2011-02-17,656.68,651.42,659.32,,658.00
2011-02-16,656.96,651.70,659.60,,658.28
